x,y,z,success,ik_ms,wait_ms,total_ms
0.35,-0.05,0.65,1,3.925237000657944,0.41322999823023565,4.33846699888818
0.35,0.05,0.65,1,1.262363999558147,0.2977279982587788,1.5600919978169259
-0.35,-0.35,0.75,1,3.692455000418704,0.27554199914447963,3.9679969995631836
-0.35,-0.25,0.75,0,9.212394998030504,0.0,9.212394998030504
-0.35,-0.15,0.75,0,8.224946002883371,0.0,8.224946002883371
-0.35,-0.05,0.75,1,1.4916520012775436,0.32070699671749026,1.8123589979950339
-0.35,0.05,0.75,0,10.316168001736514,0.0,10.316168001736514
-0.25,-0.45,0.75,0,9.243690998118836,0.0,9.243690998118836
-0.25,-0.35,0.75,1,3.0196709994925186,0.34650500310817733,3.366176002600696
-0.25,-0.25,0.75,0,9.466070001508342,0.0,9.466070001508342
-0.25,-0.15,0.75,0,8.580587997130351,0.0,8.580587997130351
-0.25,-0.05,0.75,1,2.4059479983407073,0.30775200139032677,2.713699999731034
-0.25,0.05,0.75,1,4.442636996827787,0.23229000362334773,4.6749270004511345
-0.15,-0.45,0.75,1,3.3717359983711503,0.3355549997650087,3.707290998136159
-0.15,-0.35,0.75,1,4.528688001300907,0.29845199605915695,4.827139997360064
-0.15,-0.25,0.75,0,10.166641000978416,0.0,10.166641000978416
-0.15,-0.15,0.75,0,9.258729998691706,0.0,9.258729998691706
-0.15,-0.05,0.75,1,3.993178001110209,0.3740089996426832,4.367187000752892
-0.05,-0.55,0.75,1,6.269759996939683,0.35556600414565764,6.625326001085341
-0.05,-0.45,0.75,0,8.200830001442228,0.0,8.200830001442228
-0.05,-0.35,0.75,0,7.435139999870444,0.0,7.435139999870444
0.05,-0.55,0.75,1,1.2542219992610626,0.4768430007970892,1.7310650000581518
0.05,-0.45,0.75,1,1.7286040019826032,0.3381669957889244,2.0667709977715276
0.05,-0.35,0.75,0,9.091113999602385,0.0,9.091113999602385
0.15,-0.55,0.75,1,1.386406998790335,0.315634002618026,1.702041001408361
0.15,-0.45,0.75,1,2.762961001280928,0.2689889952307567,3.0319499965116847
0.15,-0.35,0.75,1,1.3125350014888681,0.2762359981716145,1.5887709996604826
0.15,-0.25,0.75,0,6.577426000148989,0.0,6.577426000148989
0.15,-0.15,0.75,1,2.867323000828037,0.39214199932757765,3.2594650001556147
0.15,-0.05,0.75,0,9.50448699950357,0.0,9.50448699950357
0.15,0.05,0.75,0,7.407304001390003,0.0,7.407304001390003
0.25,-0.45,0.75,1,3.6619220009015407,0.3710879973368719,4.033009998238413
