x,y,z,roll,pitch,yaw,success,pos_err_mm,iterations,solve_ms,seed_used
0.0,0.25,0.35,0.0,0.0,0.0,0,429.507,1750,103.33,-1
0.0,0.25,0.45,0.0,0.0,0.0,0,400.627,1750,103.06,-1
0.0,0.25,0.55,0.0,0.0,0.0,0,485.246,1750,107.02,-1
0.0,0.25,0.65,0.0,0.0,0.0,0,467.96,1750,105.48,-1
0.0,0.25,0.75,0.0,0.0,0.0,0,212.823,1750,100.65,-1
0.0,0.25,0.85,0.0,0.0,0.0,0,199.908,1750,96.72,-1
0.0,0.35,0.35,0.0,0.0,0.0,0,477.453,1750,104.84,-1
0.0,0.35,0.45,0.0,0.0,0.0,0,599.818,1750,104.07,-1
0.0,0.35,0.55,0.0,0.0,0.0,0,571.417,1750,102.18,-1
0.0,0.35,0.65,0.0,0.0,0.0,0,556.837,1750,102.64,-1
0.0,0.35,0.75,0.0,0.0,0.0,0,305.972,1750,101.3,-1
0.0,0.35,0.85,0.0,0.0,0.0,0,295.036,1750,97.52,-1
0.0,0.45,0.35,0.0,0.0,0.0,0,538.991,1750,104.62,-1
0.0,0.45,0.45,0.0,0.0,0.0,0,513.476,1750,102.43,-1
0.0,0.45,0.55,0.0,0.0,0.0,0,496.133,1750,102.28,-1
0.0,0.45,0.65,0.0,0.0,0.0,0,646.575,1750,103.09,-1
0.0,0.45,0.75,0.0,0.0,0.0,0,400.588,1750,100.24,-1
0.0,0.45,0.85,0.0,0.0,0.0,0,390.763,1750,100.59,-1
0.1,0.05,0.35,0.0,0.0,0.0,0,203.188,1750,101.27,-1
0.1,0.05,0.45,0.0,0.0,0.0,0,289.084,1750,103.49,-1
0.1,0.05,0.55,0.0,0.0,0.0,0,292.475,1750,104.97,-1
0.1,0.05,0.65,0.0,0.0,0.0,0,79.431,1750,104.55,-1
0.1,0.05,0.75,0.0,0.0,0.0,0,124.121,1750,96.63,-1
0.1,0.05,0.85,0.0,0.0,0.0,0,50.735,1750,98.05,-1
0.1,0.15,0.35,0.0,0.0,0.0,0,338.529,1750,104.49,-1
0.1,0.15,0.45,0.0,0.0,0.0,0,299.864,1750,103.0,-1
0.1,0.15,0.55,0.0,0.0,0.0,0,376.566,1750,107.49,-1
0.1,0.15,0.65,0.0,0.0,0.0,0,353.672,1750,104.39,-1
0.1,0.15,0.75,0.0,0.0,0.0,0,172.931,1750,99.83,-1
0.1,0.15,0.85,0.0,0.0,0.0,0,117.714,1750,98.29,-1
0.1,0.25,0.35,0.0,0.0,0.0,0,375.462,1750,104.59,-1
0.1,0.25,0.45,0.0,0.0,0.0,0,338.667,1750,101.37,-1
0.1,0.25,0.55,0.0,0.0,0.0,0,312.44,1750,104.41,-1
0.1,0.25,0.65,0.0,0.0,0.0,0,298.801,1750,103.23,-1
0.1,0.25,0.75,0.0,0.0,0.0,0,245.632,1750,98.16,-1
0.1,0.25,0.85,0.0,0.0,0.0,0,206.977,1750,99.69,-1
0.1,0.35,0.35,0.0,0.0,0.0,0,431.195,1750,102.66,-1
0.1,0.35,0.45,0.0,0.0,0.0,0,397.816,1750,103.5,-1
0.1,0.35,0.55,0.0,0.0,0.0,0,374.459,1750,101.51,-1
0.1,0.35,0.65,0.0,0.0,0.0,0,362.488,1750,110.69,-1
0.1,0.35,0.75,0.0,0.0,0.0,0,329.535,1750,68.65,-1
0.1,0.35,0.85,0.0,0.0,0.0,0,299.877,1750,67.97,-1
0.1,0.45,0.35,0.0,0.0,0.0,0,499.774,1750,73.68,-1
0.1,0.45,0.45,0.0,0.0,0.0,0,505.125,1750,71.54,-1
0.1,0.45,0.55,0.0,0.0,0.0,0,449.451,1750,75.85,-1
0.1,0.45,0.65,0.0,0.0,0.0,0,439.05,1750,72.21,-1
0.1,0.45,0.75,0.0,0.0,0.0,0,418.331,1750,68.43,-1
0.1,0.45,0.85,0.0,0.0,0.0,0,394.296,1750,85.45,-1
0.2,0.05,0.35,0.0,0.0,0.0,0,273.942,1750,71.33,-1
0.2,0.05,0.45,0.0,0.0,0.0,0,222.677,1750,70.2,-1
0.2,0.05,0.55,0.0,0.0,0.0,0,182.074,1750,70.69,-1
0.2,0.05,0.65,0.0,0.0,0.0,0,137.535,1750,70.98,-1
0.2,0.05,0.75,0.0,0.0,0.0,0,129.215,1750,67.74,-1
0.2,0.05,0.85,0.0,0.0,0.0,0,50.92,1750,68.09,-1
