t,x,y,z,success,ik_ms,total_ms,tx,ty,tz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778498841.02069,0.178052,-0.270941,0.586129,1,0.5559,0.7365,0.173007,-0.272932,0.59204,0.0007,0.1573,0.3979,2,0.19897,0.607,0.607,119556,0
1778498841.071098,0.178552,-0.271743,0.585202,1,0.5665,0.7725,0.173507,-0.273735,0.591113,0.0009,0.1579,0.4077,2,0.20387,0.6231,0.6231,119556,0
1778498841.12138,0.178689,-0.271994,0.584844,1,0.6084,0.8068,0.173644,-0.273986,0.590755,0.001,0.1606,0.4468,2,0.22339,0.6157,0.6157,119572,0
1778498841.171571,0.178499,-0.271916,0.584473,1,0.615,0.7996,0.173454,-0.273907,0.590383,0.0008,0.1848,0.4294,2,0.21471,0.611,0.611,119572,0
1778498841.221762,0.178146,-0.271745,0.58421,1,0.552,0.7513,0.173101,-0.273736,0.590121,0.0007,0.1443,0.407,2,0.20349,0.6105,0.6105,119572,0
1778498841.271829,0.176988,-0.271742,0.584093,1,0.5564,0.7374,0.171943,-0.273733,0.590003,0.0008,0.1437,0.4119,2,0.20594,0.6206,0.6206,119572,0
1778498841.321948,0.176726,-0.272344,0.584178,1,0.6147,0.8228,0.171681,-0.274335,0.590089,0.0008,0.171,0.4429,2,0.22146,0.6508,0.6508,119576,0
1778498841.372056,0.176291,-0.272825,0.584302,1,0.5699,0.7582,0.171246,-0.274816,0.590213,0.001,0.1561,0.4129,2,0.20644,0.6651,0.6651,119576,0
1778498841.422226,0.176148,-0.273519,0.584449,1,0.6514,0.8627,0.171103,-0.27551,0.59036,0.0011,0.1825,0.4679,2,0.23394,0.6872,0.6872,119576,0
1778498841.473346,0.175989,-0.273833,0.584843,1,0.5759,0.7709,0.170944,-0.275824,0.590754,0.0006,0.1462,0.4291,2,0.21456,0.6947,0.6947,119576,0
1778498841.523561,0.17591,-0.273636,0.585025,1,0.5913,0.7969,0.170865,-0.275628,0.590936,0.0009,0.1704,0.42,2,0.20998,0.6919,0.6919,119576,0
1778498841.573693,0.18753,-0.217331,0.548268,1,0.4099,0.5886,0.182485,-0.219323,0.554178,0.0005,0.1453,0.264,1,0.26398,0.4264,0.4264,119576,0
1778498841.623909,0.187709,-0.217119,0.548182,1,0.4147,1.015,0.182664,-0.21911,0.554093,0.0009,0.146,0.2678,1,0.26783,0.2431,0.2431,119576,0
1778498841.673987,0.18816,-0.216755,0.547826,1,0.4868,0.7271,0.183115,-0.218746,0.553737,0.0007,0.1735,0.3126,1,0.31261,0.2419,0.2419,119580,0
1778498841.724092,0.18815,-0.21653,0.547739,1,0.4128,0.6037,0.183105,-0.218521,0.55365,0.0009,0.1419,0.27,1,0.26999,0.2415,0.2415,119580,0
