x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.0748,-0.2577,0.4317,1,3.69,0.00,164.76,168.45,0,0.0000
0.1056,-0.2474,0.4317,1,4.47,0.00,744.15,748.63,0,0.3606
0.0750,-0.2576,0.4317,1,4.40,0.00,743.45,747.85,0,0.3946
0.0242,-0.3173,0.4317,1,4.57,0.00,924.07,928.64,0,1.0544
0.0787,-0.2912,0.4318,1,4.35,0.00,925.54,929.88,0,0.7371
0.1363,-0.1346,0.4318,1,4.09,0.00,1362.93,1367.02,0,2.1638
0.0715,-0.2042,0.4318,1,4.80,0.00,1143.13,1147.93,0,1.3346
0.0987,-0.2661,0.4318,1,4.60,0.00,944.16,948.76,0,0.9578
0.0960,-0.1510,0.4319,1,4.90,0.00,1083.24,1088.14,0,1.4781
0.0572,-0.2204,0.4319,1,3.88,0.00,944.21,948.09,0,1.1347
0.0969,-0.1376,0.4320,1,4.61,0.00,983.45,988.07,0,1.2732
0.1021,-0.2525,0.4320,1,4.93,0.00,1063.49,1068.42,0,1.4510
0.1018,-0.2597,0.4321,1,3.91,0.00,303.06,306.97,0,0.0803
0.1066,-0.2474,0.4321,1,4.13,0.00,504.43,508.56,0,0.2129
0.1066,-0.2474,0.4321,1,3.60,0.00,164.52,168.13,0,0.0000
0.1067,-0.2474,0.4321,1,2.99,0.00,165.41,168.40,0,0.0000
0.1067,-0.2474,0.4321,1,4.13,0.00,164.17,168.30,0,0.0000
0.1067,-0.2474,0.4321,1,3.47,0.00,165.02,168.48,0,0.0000
0.1067,-0.2474,0.4321,1,3.93,0.00,164.07,168.00,0,0.0000
0.1067,-0.2474,0.4321,1,3.63,0.00,164.62,168.25,0,0.0000
0.1067,-0.2474,0.4321,1,3.27,0.00,165.23,168.49,0,0.0000
0.1067,-0.2474,0.4321,1,5.55,0.00,162.52,168.07,0,0.0000
0.1067,-0.2474,0.4321,1,3.86,0.00,165.17,169.03,0,0.0000
0.1067,-0.2474,0.4321,1,3.41,0.00,164.23,167.65,0,0.0000
0.1067,-0.2474,0.4321,1,3.52,0.00,164.57,168.09,0,0.0000
0.1067,-0.2474,0.4321,1,3.75,0.00,164.29,168.04,0,0.0000
0.0751,-0.2575,0.4322,1,4.55,0.00,784.09,788.64,0,0.3911
0.1067,-0.2475,0.4322,1,3.67,0.00,784.55,788.22,0,0.3892
0.1370,-0.1167,0.4322,1,4.06,0.00,1244.21,1248.28,0,1.7610
0.2530,-0.1507,0.4322,1,5.14,0.00,1323.11,1328.25,0,1.5006
0.0729,-0.2041,0.4322,1,4.95,0.00,1723.60,1728.55,0,2.4565
0.0729,-0.2041,0.4322,1,3.17,0.00,165.47,168.64,0,0.0000
0.2530,-0.1508,0.4322,1,3.73,0.00,1744.57,1748.30,0,2.3955
0.2530,-0.1508,0.4322,1,3.60,0.00,364.08,367.68,0,0.0339
0.2530,-0.1512,0.4322,1,4.40,0.00,384.39,388.79,0,0.0398
